Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
South Korea,2021,Measles,Respiratory,9.75,8.45,5.56,19-35,Male,590124,94.46,2.84,3.24,Vaccination,12656,Yes,57.93,394,9.71,91909,0.84,71.73
Brazil,2018,Alzheimer's Disease,Respiratory,12.95,14.26,6.9,61+,Male,923923,59.38,3.05,3.36,Vaccination,27962,Yes,85.32,821,4.82,57792,0.51,24.22
South Korea,2021,Asthma,Respiratory,11.63,13.65,5,0-18,Male,561548,64.69,3.73,2.49,Surgery,7731,Yes,63.1,4075,2.31,19732,0.69,22.97
Turkey,2021,Cholera,Respiratory,12.05,2.53,6.96,19-35,Female,696385,79.95,2.31,9.76,Therapy,36562,Yes,96.8,755,8.92,74774,0.65,30.23
China,2019,Rabies,Respiratory,12.25,9.52,6.97,36-60,Male,135443,74.35,4.73,1.52,Surgery,13035,Yes,77.7,1551,6.17,74399,0.82,44.88
Italy,2018,Cancer,Respiratory,10.32,1.85,9.47,0-18,Male,617199,50.31,4.49,5.25,Vaccination,31938,Yes,95.96,2053,4.44,27321,0.45,78.26
South Korea,2018,Measles,Respiratory,15.09,11.31,7.92,36-60,Female,444577,84.02,0.89,2.62,Vaccination,41794,Yes,66.89,4138,0.08,1998,0.86,80.14
India,2021,Malaria,Respiratory,19.1,4.76,4.09,0-18,Male,833166,65.59,2.44,3.45,Surgery,5980,No,53.41,2628,9.2,55869,0.58,52.54
Japan,2018,Hypertension,Respiratory,14.19,6.05,0.61,61+,Male,68267,72.57,0.84,1.95,Therapy,39144,Yes,66.72,4335,7.88,23012,0.57,27.53
Brazil,2017,Rabies,Respiratory,7.64,13.12,8.45,61+,Female,271333,65.8,1.14,7.56,Medication,4278,No,98.82,1074,9.65,82458,0.65,46.08
France,2022,Alzheimer's Disease,Respiratory,9.74,0.11,9.08,19-35,Other,521035,76.8,2.09,5.18,Surgery,34078,Yes,60.41,2691,6.3,54933,0.67,42.63
Mexico,2022,Hepatitis,Respiratory,3.93,5.02,6.58,19-35,Female,81587,87.28,1.47,8.84,Vaccination,4730,No,54.99,2756,8.21,47353,0.81,75.81
USA,2018,Ebola,Respiratory,16.94,2.86,0.92,61+,Female,835173,92.28,1.52,7.99,Vaccination,13387,Yes,92.75,2778,7.63,47404,0.55,66.99
India,2021,Tuberculosis,Respiratory,1.32,7.55,7.44,0-18,Other,922754,67.32,1.2,7.39,Vaccination,38651,Yes,63.29,1602,8.14,44689,0.51,55.24
South Africa,2020,Cholera,Respiratory,17.5,8.66,2.84,36-60,Female,913262,92.49,1.22,8.64,Vaccination,34082,No,84.3,2504,8.23,13992,0.74,40.11
Saudi Arabia,2020,Influenza,Respiratory,3.9,6.57,9.63,0-18,Female,486157,94.64,0.69,8.38,Medication,37731,Yes,63.28,241,5.69,64179,0.47,50.67
South Korea,2019,Hypertension,Respiratory,18.76,8.27,2.33,0-18,Other,330005,65.47,1.48,7.48,Therapy,47141,No,71.63,2275,2.59,40018,0.83,61.72
South Korea,2019,Cancer,Respiratory,9.83,2.02,0.59,0-18,Other,124188,52.37,2.6,7.26,Medication,17455,Yes,96.9,2490,6.8,23839,0.82,51.99
Indonesia,2023,Polio,Respiratory,17.45,12.81,8.89,36-60,Other,12332,83.05,3.53,6.58,Surgery,43197,No,70.74,838,4.21,29260,0.47,89.37
China,2023,Cancer,Respiratory,6.92,9.26,4.42,36-60,Other,830748,94.22,2.28,9.04,Vaccination,44571,Yes,70.64,1291,8.65,65064,0.76,73.49
Mexico,2019,Measles,Respiratory,14.32,2.58,7.09,19-35,Other,466149,55.54,2.53,4.25,Therapy,7280,No,60.13,3307,6.48,48299,0.82,58.47
Nigeria,2017,Rabies,Respiratory,1.95,5.67,9.57,19-35,Male,31664,60.96,2.11,8.68,Medication,45195,No,58.65,1509,4.44,57024,0.63,23.96
Germany,2022,Asthma,Respiratory,2.85,10.87,7.94,19-35,Male,484741,78.04,3.31,8.83,Surgery,11555,Yes,71.63,4918,8,93776,0.4,20.45
South Korea,2020,Leprosy,Respiratory,1.94,4.52,2.67,19-35,Other,988084,51.8,0.69,6.7,Vaccination,7691,No,60.79,797,8.79,40103,0.56,75.99
Australia,2017,Dengue,Respiratory,17.8,6.88,8.84,19-35,Other,898416,52.97,4.59,2.01,Surgery,19647,Yes,56.83,265,7.82,60668,0.74,76.8
USA,2020,Leprosy,Respiratory,12.92,5.72,5.8,61+,Male,813344,63.07,3.24,3.21,Vaccination,23650,No,93.21,2178,3.55,28868,0.42,73.95
South Korea,2018,Influenza,Respiratory,10.56,9.45,0.13,0-18,Other,537399,85.25,1.22,9.74,Therapy,37109,Yes,75.37,4920,4.65,82788,0.61,41.57
Italy,2017,Parkinson's Disease,Respiratory,2.16,14.55,9.05,19-35,Female,873041,71.44,2.45,4.4,Vaccination,33684,No,79.68,3230,1.1,56765,0.64,54.03
Canada,2023,HIV/AIDS,Respiratory,8.43,2.6,7.91,61+,Female,819673,66.69,2.54,5.65,Medication,43725,Yes,62.71,277,9.48,42221,0.76,69.12
Brazil,2018,Dengue,Respiratory,2.56,9.2,3.15,0-18,Female,420621,90.84,4.03,5.8,Therapy,20421,Yes,98.98,1761,7.3,3734,0.55,72.44
Canada,2020,Cancer,Respiratory,8.35,14.92,6.1,19-35,Other,104958,51.16,4.42,9.78,Surgery,11704,No,87.55,4609,0.47,10322,0.64,81.49
Italy,2023,Hypertension,Respiratory,12.54,11.16,7.97,36-60,Male,868463,69.17,4.35,0.62,Medication,13095,Yes,53.89,968,9.46,76649,0.78,51.66
Japan,2020,Diabetes,Respiratory,10.31,1.89,2.35,36-60,Female,626102,86.03,2.11,3.35,Medication,20914,Yes,71.6,4283,7,9679,0.49,87.35
UK,2023,COVID-19,Respiratory,17.86,5.47,6.07,0-18,Male,479716,59.86,1.4,6.98,Medication,39595,No,98.46,75,7.49,63708,0.7,78.39
UK,2019,Malaria,Respiratory,16.06,14.9,7.48,19-35,Other,546728,84.69,0.82,1.42,Surgery,49371,Yes,64.91,3786,8.14,16121,0.84,49.92
Argentina,2019,Ebola,Respiratory,17.38,14.55,3.36,61+,Male,883432,54.32,4.42,2.64,Medication,5181,Yes,53.4,467,7.78,41901,0.64,36.7
Argentina,2023,Hypertension,Respiratory,1.64,13.35,6.99,19-35,Other,271939,61.7,3.59,5.57,Surgery,31433,No,57.13,1008,7.47,59961,0.46,75.95
Saudi Arabia,2018,Rabies,Respiratory,13.78,9.55,6.99,19-35,Male,172612,67.78,3.36,6.98,Vaccination,41997,No,68.49,1551,5.08,97905,0.68,56.83
South Africa,2019,Malaria,Respiratory,11.98,5.47,6.69,19-35,Female,113187,99.73,4.42,8.51,Vaccination,1366,No,62.61,3806,0.65,32179,0.49,75.75
South Korea,2023,Alzheimer's Disease,Respiratory,13.67,6.58,9.59,61+,Other,21975,50.77,1.32,3.35,Surgery,46344,No,74.58,3556,5.34,78200,0.58,63.01
Canada,2019,COVID-19,Respiratory,6.03,8.73,9.11,61+,Female,606102,51.1,4.37,1.79,Medication,11115,No,57.95,4649,6.24,14498,0.7,47.7
China,2022,Asthma,Respiratory,7.27,11.17,2.5,0-18,Other,671917,91,4.78,2,Vaccination,40193,Yes,65.32,3866,3.6,18456,0.6,24.05
Canada,2023,Measles,Respiratory,0.81,1.82,8.51,61+,Other,200219,89,2.17,0.6,Medication,29649,Yes,73.91,2700,1.39,21307,0.79,66.08
Mexico,2017,Dengue,Respiratory,10.84,10.88,9.26,61+,Male,487854,73.22,1.09,3.71,Therapy,21980,No,71.6,3245,1.25,67616,0.88,50.89
Indonesia,2018,Parkinson's Disease,Respiratory,4.52,2.74,6.01,0-18,Female,912440,88.53,2.95,4.82,Surgery,1133,Yes,88.29,4523,0.97,72345,0.7,89.66
France,2017,Parkinson's Disease,Respiratory,6.77,5.17,9.27,61+,Other,205191,55.66,3.2,9.52,Therapy,38142,No,74.52,2734,1.31,22154,0.57,64.7
Saudi Arabia,2017,Cancer,Respiratory,1.23,3.06,3.26,61+,Other,525601,76.79,0.79,9.62,Vaccination,48000,Yes,89.94,2324,1.44,54330,0.85,61.77
Brazil,2022,Polio,Respiratory,2.31,4.72,0.72,36-60,Female,774632,97.38,2.83,8.96,Therapy,1980,No,69.83,4732,2.24,35058,0.69,58.42
Turkey,2023,Cancer,Respiratory,18.06,2.13,4.23,61+,Other,120684,56.59,3.25,3.66,Surgery,5556,Yes,56.91,2104,6.75,10889,0.46,80.83
USA,2022,Dengue,Respiratory,17.42,2.47,9.05,61+,Male,757727,80.47,5,4.89,Vaccination,30619,Yes,64.01,4693,5.8,98191,0.45,79.49
USA,2020,Hypertension,Respiratory,1.82,1.24,2.89,36-60,Female,8885,78.94,1.82,2.14,Vaccination,13709,No,87.38,3401,6.6,54814,0.57,25.98
USA,2017,Malaria,Respiratory,10.98,11.88,2.82,0-18,Female,490036,75.9,3.78,6.35,Therapy,12390,No,98.75,2249,1.76,87472,0.76,87.89
Australia,2019,Diabetes,Respiratory,10.81,9.51,2.27,0-18,Female,666893,92.41,3.76,2.5,Vaccination,24644,Yes,94.74,988,9.4,13681,0.72,65.15
Indonesia,2022,Influenza,Respiratory,3.71,12.54,9.77,61+,Male,931170,66.11,2.05,6.32,Medication,41850,Yes,56.55,3642,3.27,89629,0.73,86.18
USA,2023,Measles,Respiratory,19.32,4.11,5.45,61+,Female,975036,50.3,3.79,2.23,Vaccination,11686,No,78.91,3049,5.52,68481,0.81,37.86
Argentina,2019,Cancer,Respiratory,7.48,8.24,5.87,0-18,Other,11804,85.18,2.28,1.58,Medication,31123,No,98.93,2668,0.58,61488,0.6,70.58
Japan,2021,Ebola,Respiratory,2.43,6.86,7.82,36-60,Other,383059,68.04,1.17,8.43,Vaccination,26015,No,51.45,4606,5.21,60735,0.84,39.09
France,2018,Ebola,Respiratory,16.08,14.71,2.67,61+,Other,223899,51.72,1.66,2.86,Therapy,25978,Yes,72.5,1742,5.06,92912,0.73,85.1
Japan,2021,Diabetes,Respiratory,12.56,4.35,6.1,61+,Female,426060,99.11,4.94,1.95,Medication,39605,No,83.97,3864,1.19,34313,0.65,75.82
Australia,2020,Alzheimer's Disease,Respiratory,4.94,7.13,6.1,36-60,Female,669767,64.34,2.02,1.11,Surgery,47369,Yes,64.34,4935,3.37,28680,0.85,32.21
USA,2022,Dengue,Respiratory,10.79,9.8,7.56,36-60,Female,708265,51.66,2.62,5.34,Surgery,47380,Yes,69.74,4889,8.77,60067,0.79,64.48
China,2023,Hepatitis,Respiratory,3.78,2.87,5.25,19-35,Female,895995,90.48,2.65,1.26,Vaccination,49559,No,78.75,876,6.05,35871,0.46,78.06
Japan,2021,Ebola,Respiratory,8.56,2.2,5.88,61+,Male,184947,62.54,3.97,8.37,Therapy,36529,Yes,66.77,643,3.94,41919,0.53,24.49
Australia,2022,Measles,Respiratory,2.53,9.69,0.68,19-35,Male,931359,69.21,1.51,3.81,Therapy,46157,No,56.7,344,3.4,27106,0.62,57.88
France,2019,Influenza,Respiratory,18,2.85,3.97,0-18,Male,244231,54.09,3.47,1.8,Surgery,27187,No,95.92,1713,6.98,73454,0.71,51.77
USA,2022,Polio,Respiratory,3.67,1.97,1.54,0-18,Other,531030,61.01,4.17,5.48,Therapy,12519,Yes,60.04,2410,4.76,63507,0.68,30.3
India,2017,Ebola,Respiratory,1.05,4.25,3.49,0-18,Other,906196,84.22,2.46,4.06,Surgery,27310,Yes,66.14,4494,7.43,85229,0.68,63.29
UK,2019,Influenza,Respiratory,18.62,5.37,8.64,61+,Other,993831,65.32,2.42,4.49,Therapy,9174,Yes,77.47,3504,2.29,78335,0.62,48.43
Japan,2020,Rabies,Respiratory,4.62,5.64,2.47,0-18,Male,855942,67.9,4.97,6.92,Surgery,40718,Yes,63.06,2809,2.65,13350,0.85,33.38
Australia,2019,Diabetes,Respiratory,8.58,0.57,5.6,61+,Other,181639,94.77,1.44,2.37,Surgery,40853,Yes,67.33,2033,7.85,88326,0.65,65.4
Australia,2023,Hypertension,Respiratory,4.17,7.6,2.01,61+,Male,50822,80.66,4.85,1.28,Therapy,38283,No,89.39,2298,3.13,26692,0.46,79.53
Germany,2020,Tuberculosis,Respiratory,10.29,11.7,6.14,36-60,Female,790978,89.06,3.43,2,Medication,15607,Yes,80.7,693,0.4,36012,0.46,89.97
South Korea,2022,Hepatitis,Respiratory,10.14,0.24,8.72,61+,Male,116144,76.42,4.98,1.51,Surgery,42111,No,51.19,125,5.74,89526,0.73,68.87
South Africa,2023,Parkinson's Disease,Respiratory,0.47,2.98,6.42,36-60,Male,787383,62.41,3.84,1.05,Vaccination,39833,Yes,85.76,3239,6.75,26292,0.71,39.99
Japan,2023,HIV/AIDS,Respiratory,15.88,14.63,6.21,19-35,Male,172274,52.2,3.03,1.1,Surgery,3252,Yes,72.58,4756,2.65,44057,0.87,30.87
Argentina,2019,Diabetes,Respiratory,19.8,4.75,6.28,36-60,Other,375361,91.87,1.96,6.09,Surgery,24947,Yes,92.73,575,6.06,40788,0.45,51.81
Saudi Arabia,2017,Diabetes,Respiratory,15.27,10.29,1.39,61+,Other,328394,76.97,2.55,3.67,Vaccination,39738,No,83.69,3902,7.15,45929,0.82,52.65
Mexico,2021,Polio,Respiratory,18.56,8.57,5.09,61+,Other,626211,96.76,4.22,7.74,Therapy,15532,No,90.69,1569,5.9,42578,0.84,67.43
South Africa,2023,Hepatitis,Respiratory,0.5,1.67,2,36-60,Male,933361,75.61,4.42,3.62,Surgery,16300,Yes,82.21,4639,9.06,82003,0.9,35.88
UK,2018,Polio,Respiratory,8.69,7.69,9.93,36-60,Male,229864,50.5,1.32,2.38,Medication,28474,Yes,75.5,94,3.89,12481,0.41,67.16
South Korea,2017,Rabies,Respiratory,1.68,0.96,3.95,36-60,Female,348384,67.23,1.32,0.84,Medication,29126,Yes,79.55,2829,6.77,3194,0.63,60.37
Australia,2017,COVID-19,Respiratory,18.83,3.79,1.13,61+,Other,393304,83.49,4.08,1.5,Vaccination,4935,No,60.66,1663,9.5,24729,0.81,77.64
China,2019,Alzheimer's Disease,Respiratory,1.37,0.52,7.95,19-35,Male,399962,93.02,1.79,6.1,Vaccination,41801,Yes,97.97,1362,6.48,50958,0.4,27.78
USA,2017,Influenza,Respiratory,2.04,3.77,1.2,36-60,Male,339156,80.74,1.29,4.76,Surgery,42632,No,50.26,3548,7.33,36698,0.55,56.69
South Korea,2022,Zika,Respiratory,18.19,7.07,3.96,36-60,Female,189481,59.93,2.56,8.32,Vaccination,49005,No,78.94,1269,5.21,52596,0.89,89.7
Italy,2017,Polio,Respiratory,8.22,14.12,2.49,19-35,Female,172554,69.54,3.07,5.01,Surgery,6051,Yes,77.06,452,3.47,15047,0.79,51.81
Argentina,2021,HIV/AIDS,Respiratory,6.14,9.82,9.62,36-60,Male,145565,52,2.96,7.01,Therapy,13844,Yes,82.62,4301,0.12,96459,0.59,45.92
UK,2023,Hypertension,Respiratory,13.01,8.45,1.21,19-35,Other,605443,87.12,4.72,2.75,Therapy,11452,No,69.37,34,8.6,1529,0.62,73.11
Indonesia,2018,Leprosy,Respiratory,19.95,9.44,7.67,36-60,Other,579638,92.68,2.88,9.49,Surgery,8576,No,92.25,3426,1.97,51578,0.54,79.64
Russia,2022,Asthma,Respiratory,14.3,4.52,3.61,19-35,Female,705403,88.54,4.41,6.02,Medication,2749,Yes,59.8,977,3.95,55029,0.62,71.33
Mexico,2018,Diabetes,Respiratory,18.82,9.07,1.66,19-35,Female,937579,96.44,0.69,6.28,Vaccination,38275,Yes,94.11,2666,5.3,93050,0.6,24.23
USA,2023,HIV/AIDS,Respiratory,1.68,5.67,2.55,0-18,Other,860736,79.3,4.96,6.08,Surgery,23546,Yes,88.63,4460,7.83,8284,0.78,48.75
France,2022,Dengue,Respiratory,10.84,3.44,9.23,0-18,Male,990436,85.85,0.83,3.17,Surgery,5589,No,78.15,3603,9.87,95610,0.74,35.82
UK,2020,Polio,Respiratory,15.17,14.95,3.5,61+,Male,421474,93.32,1.48,8.04,Therapy,46775,No,60.22,2038,9.29,31892,0.9,67.51
Australia,2020,Cholera,Respiratory,12.4,2.08,2.15,19-35,Female,683389,97.37,4.37,5.63,Surgery,39215,No,51.03,3198,3.34,27414,0.65,65.88
Germany,2023,HIV/AIDS,Respiratory,7.06,12.44,9.03,36-60,Female,481390,51.69,0.63,6.02,Medication,34460,No,58.15,4763,6.43,59499,0.7,24.49
Indonesia,2022,COVID-19,Respiratory,12.7,9.86,4.46,19-35,Other,205379,87.93,2.65,6.78,Medication,29002,Yes,78.25,1194,6.42,66747,0.52,73.71
Saudi Arabia,2017,Cholera,Respiratory,13.34,13.68,8.05,61+,Male,860523,98.02,1.06,5.38,Vaccination,2719,Yes,67.13,3805,2.51,19922,0.48,87.89
Indonesia,2020,Diabetes,Respiratory,3.56,14.95,1.1,36-60,Female,111167,78.79,3.82,4.8,Therapy,44743,Yes,89.24,3857,6,76390,0.8,22.39
France,2020,HIV/AIDS,Respiratory,5.35,4.97,2.75,36-60,Other,201311,86.1,3.96,4.18,Therapy,37479,No,69.88,4849,0.26,91476,0.88,45.25
Canada,2022,COVID-19,Respiratory,11.52,9.17,7.43,61+,Other,291127,55.78,2.26,4.63,Medication,7426,Yes,94.33,4879,3.78,933,0.81,52.91
India,2020,Polio,Respiratory,6.57,12.68,6.61,19-35,Male,677678,61.67,0.91,6.42,Vaccination,720,No,60.73,2676,9.72,87491,0.76,24.97
India,2020,Hepatitis,Respiratory,6.59,14.8,9.2,61+,Female,311117,71.42,3.77,6.07,Medication,5547,No,65.66,3956,7.25,60243,0.86,30.29
Russia,2021,Measles,Respiratory,8.21,2.74,1.4,19-35,Male,285768,60.13,1.31,7.98,Surgery,47729,Yes,67.22,368,2.43,36226,0.68,53.66
Saudi Arabia,2021,Zika,Respiratory,19.75,1.95,4.02,36-60,Male,444057,53.29,4.97,8.33,Surgery,20224,No,96.28,2462,5.47,38455,0.54,46.3
Canada,2020,Leprosy,Respiratory,6.75,14.59,3.2,0-18,Other,908861,79.47,3.77,8.88,Medication,8054,Yes,94.44,2076,9.09,18458,0.67,77.07
Argentina,2023,Zika,Respiratory,8.94,4.79,2.56,0-18,Female,267313,92.71,4.42,6.8,Medication,29200,Yes,93.52,2804,4.51,87460,0.41,50.72
Italy,2018,Hypertension,Respiratory,13.33,9.55,9.52,61+,Male,153708,67.63,4.24,6.87,Medication,16075,No,69.41,1638,1,25567,0.58,48.97
France,2018,Cancer,Respiratory,3.34,5.93,9.91,36-60,Other,407842,53.25,2,6.5,Surgery,28584,Yes,56.7,3523,0.57,50219,0.45,69.67
Russia,2017,Asthma,Respiratory,4.8,6.02,5.35,36-60,Female,725273,88.03,3.9,2.57,Surgery,17576,No,92.4,3186,7.91,91380,0.48,28.22
Japan,2017,HIV/AIDS,Respiratory,9.19,4.98,3.2,0-18,Male,740059,76.37,4.54,7.78,Surgery,23764,Yes,59.76,546,2.24,6097,0.48,36.54
China,2021,HIV/AIDS,Respiratory,6.26,7.85,4.65,36-60,Female,496381,85.76,4.78,6.4,Therapy,24114,No,50.16,3258,2.23,29376,0.87,72.39
Mexico,2020,Influenza,Respiratory,13.51,0.98,9.47,61+,Female,132776,74.38,3.57,1.51,Medication,17381,No,85.01,1593,8.86,48159,0.52,75.29
Turkey,2018,Hepatitis,Respiratory,0.82,14.8,9.03,0-18,Other,365597,88.3,0.52,9.05,Surgery,30150,No,97.68,3628,3.54,32462,0.46,53.47
UK,2017,Hypertension,Respiratory,1.84,10.49,0.34,61+,Male,555053,80.3,1.86,8.85,Surgery,21159,Yes,93.42,2660,2.2,14956,0.5,26.58
France,2018,Asthma,Respiratory,1.26,4.95,0.98,0-18,Other,319605,63.79,2.83,9.1,Medication,31855,Yes,87.79,2947,9.26,91749,0.81,57.51
Mexico,2023,Diabetes,Respiratory,15.56,9.28,0.63,19-35,Other,91516,78.61,1.62,3.66,Therapy,42254,Yes,74.09,20,3.69,3003,0.85,66.2
Mexico,2020,Diabetes,Respiratory,11.11,14.03,2.25,19-35,Other,103609,96.16,3.41,5.59,Therapy,5530,Yes,95.97,918,6.96,3066,0.61,80.86
South Africa,2023,Zika,Respiratory,18.48,2.13,6.63,0-18,Female,939421,99.34,3.08,7.25,Vaccination,29880,No,83.42,577,8.71,30312,0.43,67.97
South Africa,2019,Parkinson's Disease,Respiratory,10.47,13.94,3.51,19-35,Male,413489,62.37,2.56,2.45,Vaccination,23123,Yes,73.22,4289,0.37,11344,0.84,40.52
Saudi Arabia,2021,COVID-19,Respiratory,9.42,8.71,0.65,36-60,Other,663573,92.65,1.56,2.08,Therapy,35336,Yes,86.95,1118,0.88,28803,0.57,69.75
Japan,2023,Leprosy,Respiratory,17.27,2.89,2.8,0-18,Male,650250,95.69,1.09,9.7,Therapy,15220,Yes,60.32,156,6.61,51935,0.77,68.35
Indonesia,2021,Asthma,Respiratory,17.5,1.6,5.43,19-35,Other,669802,54.81,3.35,0.72,Medication,49929,No,91.4,3073,0.88,35248,0.65,72.08
Russia,2018,Cholera,Respiratory,18.24,2.21,6.65,19-35,Female,268395,71.67,4.27,2.93,Surgery,761,No,65.59,1399,9.72,2952,0.77,71.48
Saudi Arabia,2019,Cancer,Respiratory,16.3,9.8,9.12,19-35,Female,817744,70.59,4.95,1.26,Medication,39876,No,89.66,159,5.67,93269,0.62,79.62
China,2023,Hypertension,Respiratory,5.15,13.02,3.1,19-35,Male,723578,76.98,2.67,0.79,Vaccination,47986,Yes,69.11,1868,6.64,94254,0.67,50.9
Russia,2018,Ebola,Respiratory,10.14,12.93,4.58,61+,Male,313105,99.03,4.21,2.64,Vaccination,10687,No,62.65,3134,3.59,61738,0.83,57.63
Canada,2023,HIV/AIDS,Respiratory,14.11,1.47,6.58,19-35,Male,343250,85.71,1.73,0.55,Medication,9918,Yes,59.47,4780,8.14,85537,0.58,73.05
UK,2021,Measles,Respiratory,16.77,9.52,8.09,36-60,Male,661357,76.25,2.03,0.57,Medication,30342,No,69.64,3384,2.28,44418,0.59,55.62
China,2020,Leprosy,Respiratory,10.22,12.47,4.19,61+,Other,484672,88.64,2.74,4.3,Medication,25043,No,67.77,2779,6.75,29478,0.5,39.75
Saudi Arabia,2023,Diabetes,Respiratory,6.64,10.02,6.4,0-18,Male,898070,55.64,3.9,6.14,Vaccination,47329,Yes,61.31,4600,5.89,41381,0.77,82.61
Argentina,2020,Parkinson's Disease,Respiratory,19.3,14.68,3.82,19-35,Other,425499,98.98,4.65,7.88,Surgery,35552,Yes,77.54,1158,6.28,62802,0.69,51.17
France,2017,Alzheimer's Disease,Respiratory,15.07,1.09,1.53,19-35,Other,711715,53.15,4.1,1.67,Surgery,47136,Yes,62.6,981,2.58,23709,0.51,83.44
Argentina,2022,HIV/AIDS,Respiratory,9.45,6,1.4,61+,Other,708085,77.97,3.24,2.22,Surgery,4941,No,61.73,362,2.27,21293,0.84,73.37
Australia,2022,COVID-19,Respiratory,12.73,7.96,8.06,36-60,Male,385087,87.15,3.36,3.86,Medication,26171,No,74.9,1023,3.6,63581,0.57,62.01
Germany,2019,HIV/AIDS,Respiratory,19.22,8.83,6.6,61+,Other,660401,70.44,2.11,4.7,Vaccination,40242,Yes,64.05,1830,7.38,20021,0.66,85.54
USA,2022,Polio,Respiratory,14.09,0.48,2.13,36-60,Other,803877,74.96,2.36,1.23,Medication,12668,No,53.8,4297,7.09,47435,0.73,78.39
Nigeria,2017,Leprosy,Respiratory,9.57,12.54,6.91,19-35,Female,289691,73.36,4.99,7.75,Therapy,36269,No,77.98,2209,6.93,23953,0.66,45.36
South Korea,2017,Parkinson's Disease,Respiratory,16.06,11.08,1.39,36-60,Female,12123,82.5,3.82,6.69,Vaccination,23233,Yes,96.83,3502,9.38,87925,0.54,86.3
South Africa,2018,HIV/AIDS,Respiratory,13.66,6.14,5.09,0-18,Female,712418,71.49,2.4,2.96,Therapy,41982,No,75.58,3892,1.33,50535,0.73,58.67
Saudi Arabia,2018,Parkinson's Disease,Respiratory,13.9,14.21,9.04,19-35,Female,232932,99.26,4.07,1.95,Surgery,6367,No,85.76,1348,5.99,80059,0.57,88.85
Germany,2023,Malaria,Respiratory,4.02,5.05,0.44,19-35,Male,490161,54.83,3.77,5.28,Vaccination,43483,Yes,74.49,1628,5.59,71018,0.78,45.45
France,2023,Leprosy,Respiratory,14.75,11.71,3.43,61+,Male,315311,66.42,1.55,2.26,Medication,30517,Yes,98.45,3105,3,9892,0.75,79.53
China,2020,Alzheimer's Disease,Respiratory,17.32,3.84,2.23,61+,Male,61251,59.74,3.91,9.07,Therapy,30035,No,83.23,2535,5.97,916,0.55,40.84
Germany,2017,Parkinson's Disease,Respiratory,3.61,2.88,6.66,0-18,Other,640603,62.79,4.6,0.71,Surgery,42590,No,83.36,2426,9.11,19784,0.8,78.19
South Korea,2022,Parkinson's Disease,Respiratory,6.64,2.24,9.26,19-35,Other,75265,66.88,2.68,7.11,Medication,1260,No,74.51,1314,8.59,30635,0.86,48.97
USA,2022,Influenza,Respiratory,14.32,9.46,5.42,0-18,Male,839850,59.79,4.1,3.4,Medication,48153,Yes,97.91,2762,8.02,39517,0.45,21.62
South Korea,2018,Parkinson's Disease,Respiratory,15.07,5.11,4.77,0-18,Female,235653,82.48,2.45,2.18,Therapy,3881,No,84.11,845,2.52,79032,0.56,61.66
USA,2022,Hepatitis,Respiratory,19.28,0.58,1.66,0-18,Male,355960,91.16,0.67,3.86,Surgery,45018,No,54.75,704,5.88,74693,0.79,60.04
South Africa,2020,COVID-19,Respiratory,7.09,13.9,3.41,36-60,Male,880492,59.33,0.62,3.16,Surgery,17472,No,59.55,1697,4.77,49055,0.52,34.03
Australia,2023,Malaria,Respiratory,7.2,11.35,9.02,19-35,Female,13705,87.83,0.76,6.91,Medication,1888,No,94.17,3882,1.36,79220,0.86,65.54
Mexico,2017,Dengue,Respiratory,8.51,7.58,0.9,0-18,Female,765083,88.81,1.02,6.73,Medication,39720,No,67.69,2534,0.26,17347,0.59,67
France,2018,Measles,Respiratory,6.83,11.82,0.88,0-18,Female,333250,61.83,0.73,5.23,Surgery,49779,Yes,93.7,3507,6.69,92746,0.8,68.72
South Africa,2020,Asthma,Respiratory,17.5,14.29,9.8,36-60,Female,131792,85.06,1.84,8.12,Surgery,1570,No,53.25,1646,5.46,71295,0.88,59.79
USA,2018,Polio,Respiratory,15,10.33,4.23,36-60,Female,961601,59.03,4.81,2.35,Surgery,42036,No,67.65,2787,2.01,11173,0.64,65.61
South Africa,2019,Zika,Respiratory,2.82,10.31,8.46,19-35,Other,689260,75.26,3.42,4.52,Medication,16174,No,59.28,4483,2.9,68617,0.83,84.59
India,2019,Parkinson's Disease,Respiratory,1.92,8.23,5.55,0-18,Female,276416,72.76,4.02,2.95,Medication,41126,No,81.03,2896,2.27,43509,0.67,33.95
Italy,2023,HIV/AIDS,Respiratory,18.6,7.81,2.25,19-35,Female,939393,84.08,3.07,3.92,Therapy,30483,Yes,83.9,17,2.06,78106,0.45,76.16
Canada,2020,Measles,Respiratory,15.5,12.19,9.6,0-18,Male,834447,99.99,2.2,7.15,Vaccination,11399,No,72.37,2596,6.56,74822,0.59,86.27
Saudi Arabia,2018,Dengue,Respiratory,10.08,5.22,4.37,0-18,Male,174085,92.41,3.69,3.66,Vaccination,7178,No,69.01,4461,3.74,6258,0.4,29.64
Brazil,2019,Cancer,Respiratory,7.51,10.34,2.11,36-60,Male,717077,72.56,2.56,0.88,Vaccination,3362,No,79.02,3394,7.89,44463,0.86,58.18
